name,tag,oNamCol,product
Sant_3585,Sant_3585,Alpha/beta hydrolase family protein,Alpha/beta hydrolase family protein
Sant_3586,Sant_3586,Putative diguanylate phosphodiesterase,Putative diguanylate phosphodiesterase
ypeR,Sant_3587,ypeR,Transcriptional activator of quorum-sensing system
ypeI,Sant_3588,ypeI,N-acylhomoserine lactone synthase
Sant_3589,Sant_3589,Oxidoreductase,Oxidoreductase
exbD,Sant_3590,exbD,Biopolymer transport protein
exbB,Sant_3591,exbB,Biopolymer transport protein
metC,Sant_3592,metC,Cystathionine beta-lyase
yghB,Sant_3593,yghB,membrane protein
dkgA,Sant_3594,dkgA,25-diketo-D-gluconate reductase A
sufI,Sant_3595,sufI,Cell division protein
plsC,Sant_3596,plsC,1-acyl-glycerol-3-phosphate acyltransferase
parC,Sant_3597,parC,DNA topoisomerase IV subunit A
ygiN,Sant_3598,ygiN,quinol monooxygenase
mtnK,Sant_3599,mtnK,5-methylthioribose kinase
Sant_3600,Sant_3600,Translation initiation factor aIF-2BI family,Translation initiation factor aIF-2BI family
Sant_3601,Sant_3601,Putative dioxygenase,Putative dioxygenase
masA,Sant_3602,masA,23-diketo-5-methylthiopentyl-1-phosphate enolase-phosphatase
Sant_3603,Sant_3603,Putative epimerase/aldolase,Putative epimerase/aldolase
parE,Sant_3604,parE,DNA topoisomerase IV subunit B
yqiA,Sant_3605,yqiA,Esterase
cpdA,Sant_3606,cpdA,Cyclic 3'5'-adenosine monophosphate phosphodiesterase
yqiB,Sant_3607,yqiB,dehydrogenase
nudF,Sant_3608,nudF,Putative ADP-ribose pyrophosphatase
tolC,Sant_3609,tolC,Outer membrane protein precursor
Sant_3610,Sant_3610,hypothetical protein,hypothetical protein
ygiC,Sant_3611,ygiC,Glutathionylspermidine synthase
Sant_3612,Sant_3612,Extradiol ring-cleavage dioxygenase class III protein subunit B,Extradiol ring-cleavage dioxygenase class III protein subunit B
Sant_3613,Sant_3613,NAD-dependent epimerase/dehydratase male-sterility like protein,NAD-dependent epimerase/dehydratase male-sterility like protein
ribB,Sant_3614,ribB,34-dihydroxy-2-butanone 4-phosphate synthase
Sant_3615,Sant_3615,hypothetical protein,hypothetical protein
rfaE,Sant_3616,rfaE,Bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase
glnE,Sant_3617,glnE,Bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase
ygiF,Sant_3618,ygiF,Adenylate cyclase
ygiM,Sant_3619,ygiM,Putative signal transduction protein SH3 domainprotein
cca,Sant_3620,cca,Multifunctional tRNA nucleotidyl transferase/2'3'-cyclic phosphodiesterase/2'nucleotidase/phosphatase
bacA,Sant_3621,bacA,Undecaprenyl pyrophosphate phosphatase
folB,Sant_3622,folB,Dihydroneopterin aldolase
ygiH,Sant_3623,ygiH,Putative glycerol-3-phosphate acyltransferase
gcp,Sant_3624,gcp,O-sialoglycoprotein endopeptidase
rpsU,Sant_3625,rpsU,30S ribosomal protein S21
dnaG,Sant_3626,dnaG,DNA primase
rpoD,Sant_3627,rpoD,RNA polymerase sigma-70 factor
mug,Sant_3628,mug,G:T/U mismatch-specific DNA glycosylase
ileW,Sant_t3629,ileW tRNA,tRNA-Ile
Sant_3630,Sant_3630,hypothetical protein,hypothetical protein
Sant_3631,Sant_3631,Phage transcriptional regulator,Phage transcriptional regulator
Sant_3632,Sant_3632,hypothetical protein,hypothetical protein
Sant_3633,Sant_3633,MFS superfamily permease protein,MFS superfamily permease protein
Sant_3634,Sant_3634,hypothetical protein,hypothetical protein
Sant_3635,Sant_3635,hypothetical protein,hypothetical protein
Sant_3636,Sant_3636,Transcripitional regulator,Transcripitional regulator
Sant_3637,Sant_3637,Putative lipid A core surface polymer ligase,Putative lipid A core surface polymer ligase
Sant_3638,Sant_3638,Putative heptosyl transferase,Putative heptosyl transferase
Sant_3639,Sant_3639,25-diketo-D-gluconic acid reductase A,25-diketo-D-gluconic acid reductase A
regC,Sant_3640,regC,Prophage P2 protein
Sant_ps3641,Sant_ps3641,Prophage protein; Premature stop,
Sant_3642,Sant_3642,CI repressor,CI repressor
Sant_3643,Sant_3643,hypothetical protein,hypothetical protein
Sant_3644,Sant_3644,hypothetical protein,hypothetical protein
ygjO,Sant_3645,ygjO,Putative ribosomal RNA small subunit methyltransferase D
Sant_3646,Sant_3646,Oxidoreductase domain protein,Oxidoreductase domain protein
Sant_3647,Sant_3647,Glutamine amidotransferase class-I,Glutamine amidotransferase class-I
alx,Sant_3648,alx,Putative transport protein
ygjV,Sant_3649,ygjV,membrane protein
uxaA,Sant_3650,uxaA,Altronate hydrolase
uxaB,Sant_3651,uxaB,Altronate oxidoreductase
uxaC,Sant_3652,uxaC,Glucuronate isomerase
exuT,Sant_3653,exuT,D-galactonate transporter
exuR,Sant_3654,exuR,Exu regulon transcriptional regulator
Sant_3655,Sant_3655,hypothetical protein,hypothetical protein
Sant_3656,Sant_3656,Putative permease protein,Putative permease protein
Sant_3657,Sant_3657,hypothetical protein,hypothetical protein
yqjA,Sant_3658,yqjA,membrane protein
yqjB,Sant_3659,yqjB,modulator protein
yqjD,Sant_3660,yqjD,membrane protein
yqjE,Sant_3661,yqjE,Inner membrane protein
yqjK,Sant_3662,yqjK,cell division protein
Sant_3663,Sant_3663,ThiJ/PfpI domain protein,ThiJ/PfpI domain protein
nemR,Sant_3664,nemR,Putative transcriptional regulator TetR family
yqjF,Sant_3665,yqjF,Inner membrane protein YqjF DoxX family protein
yqjG,Sant_3666,yqjG,Glutathione S-transferase domain protein
yhaJ,Sant_3667,yhaJ,LysR family transcriptional regulator
yhaK,Sant_3668,yhaK,Pirin domain-containing protein
Sant_3669,Sant_3669,hypothetical protein,hypothetical protein
rsmI,Sant_3670,rsmI,Putative uroporphyrin-III C/tetrapyrrole methyltransferase
lpoA,Sant_3671,lpoA,Penicillin-binding protein activator
Sant_3672,Sant_3672,Putative endonuclease,Putative endonuclease
diaA,Sant_3673,diaA,DnaA initiator-associating protein
yraP,Sant_3674,yraP,membrane protein
mtgA,Sant_3675,mtgA,Monofunctional biosynthetic peptidoglycan transglycosylase
elbB,Sant_3676,elbB,Isoprenoid biosynthesis protein
arcB,Sant_3677,arcB,Aerobic respiration control sensor protein
yhcC,Sant_3678,yhcC,Fe-S oxidoreductase
gltB,Sant_3679,gltB,Glutamate synthase subunit alpha
gltD,Sant_3680,gltD,Glutamate synthase small subunit
sspB,Sant_3681,sspB,ClpXP protease specificity-enhancing factor
sspA,Sant_3682,sspA,Stringent starvation protein A
rpsI,Sant_3683,rpsI,30S ribosomal protein S9
rplM,Sant_3684,rplM,50S ribosomal protein L13
Sant_3685,Sant_3685,hypothetical protein,hypothetical protein
yhcB,Sant_3686,yhcB,Cytochrome d ubiquinol oxidase subunit III
degQ,Sant_3687,degQ,Serine protease
degS,Sant_3688,degS,Serine endoprotease
murA,Sant_3689,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase
yrbA,Sant_3690,yrbA,Putative BolA family transcriptional regulator
yrbB,Sant_3691,yrbB,Putative anti-sigma-B factor antagonist
yrbC,Sant_3692,yrbC,Organic solvent ABC transport protein
yrbD,Sant_3693,yrbD,phospholipid ABC transporter substrate-binding protein
yrbE,Sant_3694,yrbE,ABC transport permease
yrbF,Sant_3695,yrbF,Putative ABC transporter ATP-binding protein
yrbG,Sant_3696,yrbG,Sodium/calcium exchanger protein
kdsD,Sant_3697,kdsD,D-arabinose 5-phosphate isomerase
kdsC,Sant_3698,kdsC,3-deoxy-D-manno-octulosonate 8-phosphate phosphatase
lptC,Sant_3699,lptC,Putative exported protein
lptA,Sant_3700,lptA,Putative lipopolysaccharide transport periplasmic protein
lptB,Sant_3701,lptB,Putative ABC transporter ATP-binding protein
rpoN,Sant_3702,rpoN,RNA polymerase factor sigma-54
hpf,Sant_3703,hpf,Putative sigma(54) modulation protein
ptsN,Sant_3704,ptsN,PTS transporter subunit IIA nitrogen-regulatoryprotein
yhbJ,Sant_3705,yhbJ,glmZ(sRNA)-inactivating NTPase
npr,Sant_3706,npr,Phosphohistidinoprotein-hexose phosphotransferase component of N-regulated PTS system
Sant_3707,Sant_3707,hypothetical protein,hypothetical protein
Sant_3708,Sant_3708,NADH:flavin oxidoreductase/NADH oxidase,NADH:flavin oxidoreductase/NADH oxidase
Sant_3709,Sant_3709,HxlR family transcriptional regulator,HxlR family transcriptional regulator
aldA,Sant_3710,aldA,Aldehyde Dehydrogenase
ysnF,Sant_3711,ysnF,Stress response protein
Sant_3712,Sant_3712,hypothetical protein,hypothetical protein
yaiW,Sant_3713,yaiW,lipoprotein
Sant_3714,Sant_3714,hypothetical protein,hypothetical protein
Sant_3715,Sant_3715,hypothetical protein,hypothetical protein
Sant_3716,Sant_3716,hypothetical protein,hypothetical protein
Sant_3717,Sant_3717,hypothetical protein,hypothetical protein
Sant_3718,Sant_3718,hypothetical protein,hypothetical protein
Sant_3719,Sant_3719,Putative YadA-like adhesin,Putative YadA-like adhesin
Sant_3720,Sant_3720,Metal ion ABC transporter periplasmic component,Metal ion ABC transporter periplasmic component
Sant_3721,Sant_3721,Metal ion ABC transporter permease component,Metal ion ABC transporter permease component
Sant_3722,Sant_3722,Metal ion ABC transporter ATP-binding component,Metal ion ABC transporter ATP-binding component
Sant_3723,Sant_3723,Peptidoglycan synthetase,Peptidoglycan synthetase
Sant_3724,Sant_3724,Putative MFS family transporter,Putative MFS family transporter
Sant_3725,Sant_3725,hypothetical protein,hypothetical protein
Sant_3726,Sant_3726,Putative Zn-dependent protease,Putative Zn-dependent protease
Sant_3727,Sant_3727,ABC transporter periplasmic sugar-binding protein,ABC transporter periplasmic sugar-binding protein
Sant_3728,Sant_3728,Sugar ABC transporter ATP-binding protein,Sugar ABC transporter ATP-binding protein
Sant_3729,Sant_3729,Inner-membrane translocator putative monosaccharide,Inner-membrane translocator putative monosaccharide
Sant_3730,Sant_3730,Transcriptional regulator DeoR family,Transcriptional regulator DeoR family
Sant_3731,Sant_3731,Glycerol-3-phosphate dehydrogenase,Glycerol-3-phosphate dehydrogenase
Sant_3732,Sant_3732,Deoxyribose-phosphate aldolase/phospho-2-dehydro-3-deoxyheptonate aldolase,Deoxyribose-phosphate aldolase/phospho-2-dehydro-3-deoxyheptonate aldolase
Sant_3733,Sant_3733,L-xylulose kinase,L-xylulose kinase
Sant_3734,Sant_3734,Beta-lactamase,Beta-lactamase
fucA,Sant_3735,fucA,L-fuculose phosphate aldolase
fucP1,Sant_3736,fucP1,L-fucose transporter
fucI,Sant_3737,fucI,L-fucose isomerase
fucK,Sant_3738,fucK,L-fuculokinase
fucU,Sant_3739,fucU,Fucose operon protein
fucR,Sant_3740,fucR,DNA-binding transcriptional activator
Sant_3741,Sant_3741,hypothetical protein,hypothetical protein
Sant_3742,Sant_3742,Carbonic anhydrase,Carbonic anhydrase
Sant_3743,Sant_3743,3-dehydroquinate dehydratase type I,3-dehydroquinate dehydratase type I
Sant_3744,Sant_3744,ABC transport ATP-binding protein/permease protein,ABC transport ATP-binding protein/permease protein
gatY,Sant_3745,gatY,Tagatose-bisphosphate aldolase
agaS2,Sant_3746,agaS2,Tagatose-6-phosphate ketose/aldose isomerase
agaZ,Sant_3747,agaZ,Tagatose-6-phosphate kinase
Sant_3748,Sant_3748,DeoR family transcriptional regulator,DeoR family transcriptional regulator
Sant_3749,Sant_3749,ROK family protein putative fructokinase,ROK family protein putative fructokinase
Sant_3750,Sant_3750,ArsR family transcriptional regulator,ArsR family transcriptional regulator
Sant_3751,Sant_3751,NADH:flavin oxidoreductase/NADH oxidase,NADH:flavin oxidoreductase/NADH oxidase
xylH,Sant_3752,xylH,Xylose transport system permease protein
xylG,Sant_3753,xylG,Xylose import ATP-binding protein
xylF,Sant_3754,xylF,Xylose ABC superfamily transporter
xlyA,Sant_3755,xlyA,Xylose isomerase
xylB,Sant_3756,xylB,Xylulokinase
xlyR,Sant_3757,xlyR,Xylose operon regulatory protein
mgtB,Sant_3758,mgtB,Magnesium-transporting ATPase P-type 1
mgtC,Sant_3759,mgtC,Mg(2+) transport protein C
Sant_3760,Sant_3760,Major facilitator superfamily transporter,Major facilitator superfamily transporter
Sant_3761,Sant_3761,LysR family transcriptional regulator,LysR family transcriptional regulator
treA2,Sant_3762,treA2,Periplasmic trehalase
gdhA,Sant_3763,gdhA,Glutamate dehydrogenase
gabP,Sant_3764,gabP,Gamma-aminobutyrate transport protein
Sant_3765,Sant_3765,Alcohol dehydrogenase GroES domain protein,Alcohol dehydrogenase GroES domain protein
Sant_3766,Sant_3766,Alcohol dehydrogenase GroES domain protein,Alcohol dehydrogenase GroES domain protein
Sant_3767,Sant_3767,Integral membrane protein,Integral membrane protein
Sant_3768,Sant_3768,Chitin binding protein,Chitin binding protein
Sant_3769,Sant_3769,Osmotically inducible protein C,Osmotically inducible protein C
Sant_3770,Sant_3770,Putative transcriptional regulator,Putative transcriptional regulator
Sant_3771,Sant_3771,IclR family transcriptional regulator,IclR family transcriptional regulator
Sant_3772,Sant_3772,L-carnitine dehydratase/bile acid-inducible protein F,L-carnitine dehydratase/bile acid-inducible protein F
Sant_3773,Sant_3773,L-carnitine dehydratase/bile acid-inducible protein F,L-carnitine dehydratase/bile acid-inducible protein F
Sant_3774,Sant_3774,Cro/Cl family transcriptional regulator,Cro/Cl family transcriptional regulator
Sant_3775,Sant_3775,Putative L-rhamnose-proton symporter protein,Putative L-rhamnose-proton symporter protein
Sant_3776,Sant_3776,Putative oxidoreductase,Putative oxidoreductase
Sant_3777,Sant_3777,Putative amidohydrolase 2,Putative amidohydrolase 2
Sant_3778,Sant_3778,Dihydrodipicolinate synthetase,Dihydrodipicolinate synthetase
Sant_3779,Sant_3779,hypothetical protein,hypothetical protein
Sant_3780,Sant_3780,MaoC domain protein dehydratase,MaoC domain protein dehydratase
fucO,Sant_3781,fucO,L-12-propanediol oxidoreductase lactaldehyde reductase
Sant_ps3782,Sant_ps3782,hypothetical protein; Frameshifted,
yjhF,Sant_3783,yjhF,Gluconate/H+ symporter
yjhG,Sant_3784,yjhG,Dehydratase
Sant_3785,Sant_3785,Dihydrodipicolinate synthase,Dihydrodipicolinate synthase
Sant_3786,Sant_3786,Putative transcriptional regulator,Putative transcriptional regulator
Sant_3787,Sant_3787,Putative proteinase inhibitor I42,Putative proteinase inhibitor I42
Sant_3788,Sant_3788,hypothetical protein,hypothetical protein
Sant_3789,Sant_3789,Putative dehydrogenase,Putative dehydrogenase
Sant_3790,Sant_3790,LysR family transcriptional regulator,LysR family transcriptional regulator
Sant_3791,Sant_3791,Putative superfamily I DNA helicase,Putative superfamily I DNA helicase
Sant_3792,Sant_3792,hypothetical protein,hypothetical protein
Sant_3793,Sant_3793,hypothetical protein,hypothetical protein
Sant_ps3794,Sant_ps3794,Transposase; Frameshifted,
Sant_3795,Sant_3795,IS3 transposase,IS3 transposase
Sant_3796,Sant_3796,Putative polyketide synthesis protein,Putative polyketide synthesis protein
lsrK,Sant_3797,lsrK,Autoinducer-2 (AI-2) kinase
lsrR,Sant_3798,lsrR,Lsr operon transcriptional repressor
lsrA,Sant_3799,lsrA,AI-2 transporter
lsrC,Sant_3800,lsrC,AI-2 import system permease protein
lsrD,Sant_3801,lsrD,AI-2 ABC transporter
lsrB,Sant_3802,lsrB,AI-2 transport protein
lsrF,Sant_3803,lsrF,AI-2 aldolase
lsrG,Sant_3804,lsrG,AI-2 degrading protein
Sant_3805,Sant_3805,Ribulose-3-phosphate epimerase,Ribulose-3-phosphate epimerase
Sant_ps3806,Sant_ps3806,Integrase; Frameshifted,
Sant_ps3807,Sant_ps3807,Pseudogene,
Sant_ps3808,Sant_ps3808,hypothetical protein; Truncated,
Sant_ps3809,Sant_ps3809,Pseudogene,
Sant_3810,Sant_3810,Type I restriction enzyme modification subunit,Type I restriction enzyme modification subunit
Sant_3811,Sant_3811,Type-1 restriction enzyme specificity protein,Type-1 restriction enzyme specificity protein
prrC,Sant_3812,prrC,Anticodon nuclease
Sant_3813,Sant_3813,DEAD/DEAH box helicase,DEAD/DEAH box helicase
Sant_3814,Sant_3814,hypothetical protein,hypothetical protein
Sant_3815,Sant_3815,Transposase IS3/IS911 family protein,Transposase IS3/IS911 family protein
Sant_ps3816,Sant_ps3816,Transposase; Premature stop,
leuX,Sant_t3817,leuX tRNA,tRNA-Leu
nei,Sant_3818,nei,Endonuclease VIII
Sant_3819,Sant_3819,hypothetical protein,hypothetical protein
Sant_3820,Sant_3820,Putative surface layer protein,Putative surface layer protein
Sant_3821,Sant_3821,Transcriptional regulator,Transcriptional regulator
lptG,Sant_3822,lptG,Permease protein
lptF,Sant_3823,lptF,Permease protein
pepA,Sant_3824,pepA,Leucyl aminopeptidase
holC,Sant_3825,holC,DNA polymerase III subunit chi
valS,Sant_3826,valS,Valyl-tRNA synthetase
yjgM,Sant_3827,yjgM,Putative acetyltransferase
rraB,Sant_3828,rraB,Ribonuclease E inhibitor
argI,Sant_3829,argI,Ornithine carbamoyltransferase subunit I
Sant_3830,Sant_3830,hypothetical protein,hypothetical protein
pyrB,Sant_3831,pyrB,Aspartate carbamoyltransferase catalytic subunit
pyrI,Sant_3832,pyrI,Aspartate carbamoyltransferase regulatory subunit
yjgF,Sant_3833,yjgF,Endoribonuclease L-PSP
Sant_3834,Sant_3834,Serine/threonine dehydratase family protein,Serine/threonine dehydratase family protein
Sant_3835,Sant_3835,Type II site-specific deoxyribonuclease,Type II site-specific deoxyribonuclease
nspV,Sant_3836,nspV,Modification methylase
Sant_3837,Sant_3837,Anaerobic ribonucleoside-triphosphate reductase,Anaerobic ribonucleoside-triphosphate reductase
Sant_3838,Sant_3838,Anaerobic ribonucleoside-triphosphate reductase activating protein,Anaerobic ribonucleoside-triphosphate reductase activating protein
Sant_3839,Sant_3839,hypothetical protein,hypothetical protein
Sant_3840,Sant_3840,hypothetical protein,hypothetical protein
Sant_3841,Sant_3841,Outer membrane efflux protein,Outer membrane efflux protein
Sant_3842,Sant_3842,Efflux transporter RND family,Efflux transporter RND family
czcA,Sant_3843,czcA,Putative cation efflux system protein
gltP,Sant_3844,gltP,Proton/sodium-glutamate/aspartate transport protein
acs,Sant_3845,acs,Acetyl-CoA synthetase
yjcH,Sant_3846,yjcH,membrane protein
actP,Sant_3847,actP,Cation/acetate symporter
cidB,Sant_3848,cidB,Holin-like protein
Sant_3849,Sant_3849,Effector of murein hydrolase,Effector of murein hydrolase
Sant_3850,Sant_3850,Transcriptional regulator LysR family,Transcriptional regulator LysR family
yjcE,Sant_3851,yjcE,Putative sodium-hydrogen antiporter
fcuA,Sant_3852,fcuA,TonB-dependent siderophore receptor
Sant_3853,Sant_3853,Putative dehydrogenase,Putative dehydrogenase
Sant_3854,Sant_3854,Putative LysR family transcriptional regulator,Putative LysR family transcriptional regulator
Sant_3855,Sant_3855,hypothetical protein,hypothetical protein
Sant_3856,Sant_3856,Sulfonate binding protein,Sulfonate binding protein
Sant_3857,Sant_3857,OsmC family protein,OsmC family protein
Sant_3858,Sant_3858,Alkanesulfonate monooxygenase,Alkanesulfonate monooxygenase
Sant_3859,Sant_3859,Putative DNA segregation ATPase,Putative DNA segregation ATPase
ssb,Sant_3860,ssb,Single-strand DNA-binding protein
uvrA,Sant_3861,uvrA,Excinuclease ABC subunit A
Sant_3862,Sant_3862,hypothetical protein,hypothetical protein
yjbQ,Sant_3863,yjbQ,Thiamine-phosphate synthase
tyrB,Sant_3864,tyrB,Aromatic-amino-acid aminotransferase
dnaB,Sant_3865,dnaB,Replicative DNA helicase
qor,Sant_3866,qor,Quinone oxidoreductase NADPH-dependent
pspG,Sant_3867,pspG,Phage shock protein G
Sant_3868,Sant_3868,Hydantoinase,Hydantoinase
Sant_3869,Sant_3869,hypothetical protein,hypothetical protein
Sant_3870,Sant_3870,Putative transcriptional regulator PAS and GerEdomains,Putative transcriptional regulator PAS and GerEdomains
dusA,Sant_3871,dusA,TRNA-dihydrouridine synthase A
rcsA2,Sant_3872,rcsA2,Putative colanic acid capsular biosynthesis protein
zur,Sant_3873,zur,Zinc uptake transcriptional repressor
Sant_3874,Sant_3874,Ser/Thr protein phosphatase domain protein,Ser/Thr protein phosphatase domain protein
Sant_3875,Sant_3875,Putative stress-response protein,Putative stress-response protein
lexA,Sant_3876,lexA,Transcriptional repressor protein
plsB,Sant_3877,plsB,Glycerol-3-phosphate acyltransferase
ubiA,Sant_3878,ubiA,4-hydroxybenzoate octaprenyltransferase
ubiC,Sant_3879,ubiC,Chorismate pyruvate lyase
Sant_3880,Sant_3880,hypothetical protein,hypothetical protein
Sant_3881,Sant_3881,Exported protein,Exported protein
Sant_3882,Sant_3882,Putative lipoprotein,Putative lipoprotein
pgi,Sant_3883,pgi,Glucose-6-phosphate isomerase
lysC,Sant_3884,lysC,Aspartate kinase III
yjbB,Sant_3885,yjbB,Na/phosphate symporter
Sant_3886,Sant_3886,ABC transporter-like protein,ABC transporter-like protein
Sant_3887,Sant_3887,ABC transporter permease component putative,ABC transporter permease component putative
Sant_3888,Sant_3888,Binding-protein-dependent transport systems inner membrane component,Binding-protein-dependent transport systems inner membrane component
Sant_3889,Sant_3889,Type I phosphodiesterase/nucleotide pyrophosphatase,Type I phosphodiesterase/nucleotide pyrophosphatase
Sant_3890,Sant_3890,Extracellular solute-binding protein,Extracellular solute-binding protein
Sant_3891,Sant_3891,GntR family transcriptional regulator,GntR family transcriptional regulator
Sant_3892,Sant_3892,Short-chain dehydrogenase/reductase SDR,Short-chain dehydrogenase/reductase SDR
Sant_3893,Sant_3893,hypothetical protein,hypothetical protein
Sant_3894,Sant_3894,Stress responsive alpha-beta barrel domain-containing protein,Stress responsive alpha-beta barrel domain-containing protein
Sant_3895,Sant_3895,Alcohol dehydrogenase GroES domain protein,Alcohol dehydrogenase GroES domain protein
Sant_3896,Sant_3896,Aminotransferase class III,Aminotransferase class III
metH,Sant_3897,metH,Putative 5-methyltetrahydrofolate--homocysteine methyltransferase
gntK,Sant_3898,gntK,Gluconate kinase 1
edd,Sant_3899,edd,Phosphogluconate dehydratase
metA,Sant_3900,metA,Homoserine O-succinyltransferase
Sant_3901,Sant_3901,hypothetical protein,hypothetical protein
5S rRNA,Sant_r3902,5S rRNA,5S ribosomal RNA
23S rRNA,Sant_r3903,23S rRNA,23S ribosomal RNA
alaZ,Sant_t3904,alaZ tRNA,tRNA-Ala
ileX,Sant_t3905,ileX tRNA,tRNA-Ile
16S rRNA,Sant_r3906,16S rRNA,16S ribosomal RNA
purH,Sant_3907,purH,Bifunctional ideformyltransferase/IMP cyclohydrolase
purD,Sant_3908,purD,Phosphoribosylglycineamide synthase
yjaH,Sant_3909,yjaH,Putative lipoprotein
hupA,Sant_3910,hupA,Transcriptional regulator HU subunit alpha
Sant_3911,Sant_3911,hypothetical protein,hypothetical protein
nfi,Sant_3912,nfi,Endonuclease V
hemE,Sant_3913,hemE,Uroporphyrinogen decarboxylase
nudC,Sant_3914,nudC,NADH pyrophosphatase
rsd,Sant_3915,rsd,Anti-RNA polymerase sigma 70 factor
thiC,Sant_3916,thiC,Thiamine biosynthesis protein
thiE,Sant_3917,thiE,Thiamine-phosphate pyrophosphorylase
thiF,Sant_3918,thiF,Thiamine biosynthesis protein
thiS,Sant_3919,thiS,Sulfur carrier protein
thiG,Sant_3920,thiG,Thiazole biosynthesis protein
thiH,Sant_3921,thiH,Thiamine biosynthesis protein
rpoC,Sant_3922,rpoC,DNA-directed RNA polymerase subunit beta
rpoB,Sant_3923,rpoB,DNA-directed RNA polymerase subunit beta
rplL,Sant_3924,rplL,50S ribosomal protein L7/L12
rplJ,Sant_3925,rplJ,50S ribosomal protein L10
rplA,Sant_3926,rplA,50S ribosomal protein L1
rplK,Sant_3927,rplK,50S ribosomal protein L11
nusG,Sant_3928,nusG,Transcription antitermination protein
secE,Sant_3929,secE,Preprotein translocase subunit
tufB,Sant_3930,tufB,Elongation factor Tu
thrT,Sant_t3931,thrT tRNA,tRNA-Thr
glyT,Sant_t3932,glyT tRNA,tRNA-Gly
tyrU,Sant_t3933,tyrU tRNA,tRNA-Tyr
thrX,Sant_t3934,thrX tRNA,tRNA-Thr
coaA,Sant_3935,coaA,Pantothenate kinase
pepE,Sant_3936,pepE,Peptidase E
birA,Sant_3937,birA,Biotin--protein ligase
murB,Sant_3938,murB,UDP-N-acetylenolpyruvoylglucosamine reductase
Sant_3939,Sant_3939,hypothetical protein,hypothetical protein
5S rRNA,Sant_r3940,5S rRNA,5S ribosomal RNA
thrV,Sant_t3941,thrV tRNA,tRNA-Thr
5S rRNA,Sant_r3942,5S rRNA,5S ribosomal RNA
23S rRNA,Sant_r3943,23S rRNA,23S ribosomal RNA
alaV,Sant_t3944,alaV tRNA,tRNA-Ala
ileV,Sant_t3945,ileV tRNA,tRNA-Ile
16S rRNA,Sant_r3946,16S rRNA,16S ribosomal RNA
murI,Sant_3947,murI,Glutamate racemase
btuB,Sant_3948,btuB,TonB-dependent vitamin B12 receptor
trmA,Sant_3949,trmA,TRNA (uracil-5-)-methyltransferase
yijD,Sant_3950,yijD,membrane protein
fabR,Sant_3951,fabR,DNA-binding transcriptional repressor
sthA,Sant_3952,sthA,Soluble pyridine nucleotide transhydrogenase
oxyR,Sant_3953,oxyR,DNA-binding transcriptional regulator
Sant_3954,Sant_3954,Hybrid peroxiredoxin,Hybrid peroxiredoxin
argH,Sant_3955,argH,Argininosuccinate lyase
argB,Sant_3956,argB,Acetylglutamate kinase
argC,Sant_3957,argC,N-acetyl-gamma-glutamyl-phosphate reductase
argE,Sant_3958,argE,Acetylornithine deacetylase
ppc,Sant_3959,ppc,Phosphoenolpyruvate carboxylase
metF,Sant_3960,metF,510-methylenetetrahydrofolate reductase
metL,Sant_3961,metL,Bifunctional aspartate kinase II/homoserine dehydrogenase II
metB,Sant_3962,metB,Cystathionine gamma-synthase
metJ,Sant_3963,metJ,Transcriptional repressor protein
Sant_3964,Sant_3964,Effector protein pipB2,Effector protein pipB2
rpmE2,Sant_3965,rpmE2,50S ribosomal protein L31
priA,Sant_3966,priA,Primosome assembly protein
cytR,Sant_3967,cytR,DNA-binding transcriptional regulator
ftsN,Sant_3968,ftsN,Cell division protein
hslV,Sant_3969,hslV,ATP-dependent protease subunit
hslU,Sant_3970,hslU,ATP-dependent protease ATP-binding subunit
Sant_3971,Sant_3971,14-dihydroxy-2-naphthoate octaprenyltransferase,14-dihydroxy-2-naphthoate octaprenyltransferase
rraA,Sant_3972,rraA,Ribonuclease activity regulator protein
zapB,Sant_3973,zapB,Cell division protein
glpF,Sant_3974,glpF,MIP family glycerol uptake facilitator protein
glpK,Sant_3975,glpK,Glycerol kinase
glpX,Sant_3976,glpX,Fructose-16-bisphosphatase class II
emrD,Sant_3977,emrD,Multidrug resistance protein D
fpr,Sant_3978,fpr,Ferredoxin-NADP reductase
Sant_3979,Sant_3979,hypothetical protein,hypothetical protein
tpiA,Sant_3980,tpiA,Triosephosphate isomerase
sbp,Sant_3981,sbp,Sulfate transporter subunit
pfkA,Sant_3982,pfkA,6-phosphofructokinase
psiE,Sant_3983,psiE,Phosphate-starvation-inducible protein E
pepM,Sant_3984,pepM,Phosphoenolpyruvate phosphomutase
Sant_3985,Sant_3985,hypothetical protein,hypothetical protein
Sant_3986,Sant_3986,hypothetical protein,hypothetical protein
Sant_3987,Sant_3987,Putative lysine decarboxylase,Putative lysine decarboxylase
Sant_3988,Sant_3988,NUDIX hydrolase,NUDIX hydrolase
cpxP,Sant_3989,cpxP,Periplasmic repressor
cpxR,Sant_3990,cpxR,DNA-binding transcriptional regulator
cpxA,Sant_3991,cpxA,Two-component sensor kinase
trmL,Sant_3992,trmL,Putative RNA methyltransferase
cysE,Sant_3993,cysE,Serine acetyltransferase
